FILE, GAIA ROW, GALEX ROW, GAIA RA, GALEX RA, GAIA DEC, GALEX DEC
Berkeley_12,30,34,71.20076892968610,71.200359764886,42.67559617118360,42.6755288595205
Berkeley_12,30,35,71.20076892968610,71.200733134661,42.67559617118360,42.6755386429414
Berkeley_12,31,36,71.11243059593720,71.1120970381073,42.66486761131050,42.6657661784142
Berkeley_12,33,39,71.1416366667818,71.1405395498376,42.643243127367700,42.6432291008043
Berkeley_12,34,39,71.1410324588414,71.1405395498376,42.6419004941611,42.6432291008043
Berkeley_12,35,40,71.16316568471080,71.1640529781298,42.639950017174900,42.6412732432253
Berkeley_12,36,41,71.10339646517770,71.1035921831628,42.67178195700610,42.6719474665711
Berkeley_12,36,42,71.10339646517770,71.1034454952062,42.67178195700610,42.6719228083097
Berkeley_12,37,41,71.10339646517770,71.1035921831628,42.67178195700610,42.6719474665711
Berkeley_12,37,42,71.10339646517770,71.1034454952062,42.67178195700610,42.6719228083097
Berkeley_12,38,43,71.10326416044210,71.1035928286867,42.68383961173810,42.6835964215123
Berkeley_12,38,46,71.10326416044210,71.103270559077,42.68383961173810,42.683832048228
Berkeley_12,39,45,71.15327933935860,71.1531207504098,42.71623829455900,42.7163080537484
Berkeley_12,40,43,71.10326416044210,71.1035928286867,42.68383961173810,42.6835964215123
Berkeley_12,40,46,71.10326416044210,71.103270559077,42.68383961173810,42.683832048228
Berkeley_12,41,47,71.1795607342898,71.1790111010123,42.63975824484890,42.6399923664543
Berkeley_12,42,48,71.19130212609530,71.1902473475787,42.70964261679910,42.7102395979844
Berkeley_12,43,50,71.12984955111070,71.1297772959592,42.71644702633250,42.7161367691985
Berkeley_12,44,51,71.20444042653690,71.2042082253638,42.70205207956080,42.7024407357547
Berkeley_12,44,52,71.20444042653690,71.2053585824561,42.70205207956080,42.7023664826678
Berkeley_12,45,51,71.20444042653690,71.2042082253638,42.70205207956080,42.7024407357547
Berkeley_12,45,52,71.20444042653690,71.2053585824561,42.70205207956080,42.7023664826678
Berkeley_12,46,53,71.2088988188886,71.2089197206386,42.69817029850050,42.6981343859839
Berkeley_12,47,54,71.21113091336610,71.2105787963245,42.65916264549160,42.6587196955322
Berkeley_12,47,55,71.21113091336610,71.2111017797028,42.65916264549160,42.6589590203819
Berkeley_12,47,56,71.21113091336610,71.2112956467467,42.65916264549160,42.6590296432538
Berkeley_12,48,54,71.21113091336610,71.2105787963245,42.65916264549160,42.6587196955322
Berkeley_12,48,55,71.21113091336610,71.2111017797028,42.65916264549160,42.6589590203819
Berkeley_12,48,56,71.21113091336610,71.2112956467467,42.65916264549160,42.6590296432538
Berkeley_12,49,54,71.21113091336610,71.2105787963245,42.65916264549160,42.6587196955322
Berkeley_12,49,55,71.21113091336610,71.2111017797028,42.65916264549160,42.6589590203819
Berkeley_12,49,56,71.21113091336610,71.2112956467467,42.65916264549160,42.6590296432538
Berkeley_12,50,57,71.11868377325430,71.1200296392515,42.71407460521620,42.7149448787727
Berkeley_12,51,58,71.09273697745500,71.09283430418,42.681305366419300,42.6817652350312
